"SP","sci.x","pest","genus.1","severity","clean_pest","genus2","FIA..Code","code.x","Common.Name","Genus.x","Species.x","genus","FIA  Code","code.y","Common Name","Genus.y","Species.y","sci.y"
"CALIFORNIA LIVE OAK","QUERCUS AGRIFOLIA","Oak pit scale (Asterolecanium spp.)*","I/S",3,"Asterolecanium variolosum","Quercus",801,"QUAG","CALIFORNIA LIVE OAK","Quercus","agrifolia","quercus","0801","QUAG","California live oak","Quercus","agrifolia","QUERCUS AGRIFOLIA"
"CALIFORNIA RED FIR","ABIES MAGNIFICA","Balsam woolly adelgid (Adelges piceae)*","I/S",0,"Adelges piceae","Abies",20,"ABMA","CALIFORNIA RED FIR","Abies","magnifica","abies","0020","ABMA","California red fir","Abies","magnifica","ABIES MAGNIFICA"
"CALIFORNIA WHITE OAK","QUERCUS LOBATA","Oak pit scale (Asterolecanium spp.)*","I/S",3,"Asterolecanium variolosum","Quercus",821,"QULO","CALIFORNIA WHITE OAK","Quercus","lobata","quercus","0821","QULO","California white oak","Quercus","lobata","QUERCUS LOBATA"
"CANYON LIVE OAK","QUERCUS CHRYSOLEPIS","Oak pit scale (Asterolecanium spp.)*","I/S",3,"Asterolecanium variolosum","Quercus",805,"QUCH2","CANYON LIVE OAK","Quercus","chrysolepis","quercus","0805","QUCH2","canyon live oak","Quercus","chrysolepis","QUERCUS CHRYSOLEPIS"
"CAROLINA ASH","FRAXINUS CAROLINIANA","Oystershell scale (Lepidosaphes ulmi)*","I/S",3,"Lepidosaphes ulmi","Fraxinus",548,"FRCA3","CAROLINA ASH","","caroliniana","","0548","FRCA3","Carolina ash","","caroliniana","FRAXINUS CAROLINIANA"
"CAROLINA ASH","FRAXINUS CAROLINIANA","Emerald ash borer (Agrilus planipennis)*","I/B",10,"Agrilus planipennis","Fraxinus",548,"FRCA3","CAROLINA ASH","","caroliniana","","0548","FRCA3","Carolina ash","","caroliniana","FRAXINUS CAROLINIANA"
"CAROLINA BASSWOOD","TILIA AMERICANA VAR. CAROLINIANA","Japanese beetle (Popillia japonica)*","I/F",1,"Popillia japonica","Tilia",953,"TIAMC","CAROLINA BASSWOOD","Tilia","americana var. caroliniana","tilia","0953","TIAMC","Carolina basswood","Tilia","americana var. caroliniana","TILIA AMERICANA VAR. CAROLINIANA"
"CAROLINA BASSWOOD","TILIA AMERICANA VAR. CAROLINIANA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Tilia",953,"TIAMC","CAROLINA BASSWOOD","Tilia","americana var. caroliniana","tilia","0953","TIAMC","Carolina basswood","Tilia","americana var. caroliniana","TILIA AMERICANA VAR. CAROLINIANA"
"CAROLINA HEMLOCK","TSUGA CAROLINIANA","Elongate hemlock scale (Fiorinia externa)*","I/S",3,"Fiorinia externa","Tsuga",262,"TSCA2","CAROLINA HEMLOCK","Tsuga","caroliniana","tsuga","0262","TSCA2","Carolina hemlock","Tsuga","caroliniana","TSUGA CAROLINIANA"
"CAROLINA HEMLOCK","TSUGA CAROLINIANA","Hemlock woolly adelgid (Adelges tsugae)*","I/S",10,"Adelges tsugae","Tsuga",262,"TSCA2","CAROLINA HEMLOCK","Tsuga","caroliniana","tsuga","0262","TSCA2","Carolina hemlock","Tsuga","caroliniana","TSUGA CAROLINIANA"
"CEDAR ELM","ULMUS CRASSIFOLIA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",3,"Anoplophora glabripennis","Ulmus",973,"ULCR","CEDAR ELM","Ulmus","crassifolia","ulmus","0973","ULCR","cedar elm","Ulmus","crassifolia","ULMUS CRASSIFOLIA"
"CEDAR ELM","ULMUS CRASSIFOLIA","Banded elm bark beetle (Scolytus schevyrewi)*","I/B",0,"Scolytus schevyrewi","Ulmus",973,"ULCR","CEDAR ELM","Ulmus","crassifolia","ulmus","0973","ULCR","cedar elm","Ulmus","crassifolia","ULMUS CRASSIFOLIA"
"CHALK MAPLE","ACER LEUCODERME","Oystershell scale (Lepidosaphes ulmi)*","I/S",1,"Lepidosaphes ulmi","Acer",323,"ACLE","CHALK MAPLE","Acer","leucoderme","acer","0323","ACLE","chalk maple","Acer","leucoderme","ACER LEUCODERME"
"CHALK MAPLE","ACER LEUCODERME","Japanese beetle (Popillia japonica)*","I/F",1,"Popillia japonica","Acer",323,"ACLE","CHALK MAPLE","Acer","leucoderme","acer","0323","ACLE","chalk maple","Acer","leucoderme","ACER LEUCODERME"
