"SP","sci.x","pest","genus.1","severity","clean_pest","genus2","FIA..Code","code.x","Common.Name","Genus.x","Species.x","genus","FIA  Code","code.y","Common Name","Genus.y","Species.y","sci.y"
"SWEET BIRCH","BETULA LENTA","Birch leafminer (Fenusa pusilla)*","I/F",0,"Fenusa pusilla","Betula",372,"BELE","SWEET BIRCH","Betula","lenta","betula","0372","BELE","sweet birch","Betula","lenta","BETULA LENTA"
"SWEET BIRCH","BETULA LENTA","Japanese beetle (Popillia japonica)*","I/F",0,"Popillia japonica","Acer",372,"BELE","SWEET BIRCH","Betula","lenta","betula","0372","BELE","sweet birch","Betula","lenta","BETULA LENTA"
"SWEETGUM","LIQUIDAMBAR STYRACIFLUA","Calico scale (Eulecanium cerasorum)*","I/S",1,"Eulecanium cerasorum","Liquidambar",611,"LIST2","SWEETGUM","","styraciflua","","0611","LIST2","sweetgum","","styraciflua","LIQUIDAMBAR STYRACIFLUA"
"SWEETGUM","LIQUIDAMBAR STYRACIFLUA","Gypsy moth (Lymantria dispar dispar)*","I/F",1,"Lymantria dispar","Liquidambar",611,"LIST2","SWEETGUM","","styraciflua","","0611","LIST2","sweetgum","","styraciflua","LIQUIDAMBAR STYRACIFLUA"
"TABLE MOUNTAIN PINE","PINUS PUNGENS","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",123,"PIPU5","TABLE MOUNTAIN PINE","","pungens","","0123","PIPU5","Table Mountain pine","","pungens","PINUS PUNGENS"
"TABLE MOUNTAIN PINE","PINUS PUNGENS","European pine sawfly (Neodiprion sertifer)*","I/F",1,"Neodiprion sertifer","Pinus",123,"PIPU5","TABLE MOUNTAIN PINE","","pungens","","0123","PIPU5","Table Mountain pine","","pungens","PINUS PUNGENS"
"TAMARACK (NATIVE)","LARIX LARICINA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Larix",71,"LALA","TAMARACK (NATIVE)","Larix","laricina","larix","0071","LALA","tamarack (native)","Larix","laricina","LARIX LARICINA"
"TAMARACK (NATIVE)","LARIX LARICINA","Larch casebearer (Coleophora laricella)*","I/F",5,"Coleophora laricella","Larix",71,"LALA","TAMARACK (NATIVE)","Larix","laricina","larix","0071","LALA","tamarack (native)","Larix","laricina","LARIX LARICINA"
"TAMARACK (NATIVE)","LARIX LARICINA","Larch sawfly (Pristiphora erichsonii)","I/F",5,"Pristiphora erichsonii","Larix",71,"LALA","TAMARACK (NATIVE)","Larix","laricina","larix","0071","LALA","tamarack (native)","Larix","laricina","LARIX LARICINA"
"TEXAS ASH","FRAXINUS TEXENSIS","Oystershell scale (Lepidosaphes ulmi)*","I/S",3,"Lepidosaphes ulmi","Fraxinus",549,"FRTE","TEXAS ASH","","texensis","","0549","FRTE","Texas ash","","texensis","FRAXINUS TEXENSIS"
"TEXAS ASH","FRAXINUS TEXENSIS","Emerald ash borer (Agrilus planipennis)*","I/B",9,"Agrilus planipennis","Fraxinus",549,"FRTE","TEXAS ASH","","texensis","","0549","FRTE","Texas ash","","texensis","FRAXINUS TEXENSIS"
"TEXAS BUCKEYE","AESCULUS GLABRA VAR. ARGUTA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",5,"Anoplophora glabripennis","Aesculus",334,"AEGLA","TEXAS BUCKEYE","Aesculus","glabra var. arguta","aesculus","0334","AEGLA","Texas buckeye","Aesculus","glabra var. arguta","AESCULUS GLABRA VAR. ARGUTA"
"TEXAS MULBERRY","MORUS MICROPHYLLA","Pink hibiscus mealybug (Maconellicoccus hirsutus)*","I/S",1,"Maconellicoccus hirsutus","Morus",683,"MOMI","TEXAS MULBERRY","Morus","microphylla","morus","0683","MOMI","Texas mulberry","Morus","microphylla","MORUS MICROPHYLLA"
"TORREY PINE","PINUS TORREYANA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",139,"PITO","TORREY PINE","","torreyana","","0139","PITO","Torrey pine","","torreyana","PINUS TORREYANA"
"TORREY PINE","PINUS TORREYANA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",139,"PITO","TORREY PINE","","torreyana","","0139","PITO","Torrey pine","","torreyana","PINUS TORREYANA"
"TURKEY OAK","QUERCUS LAEVIS","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",819,"QULA2","TURKEY OAK","Quercus","laevis","quercus","0819","QULA2","turkey oak","Quercus","laevis","QUERCUS LAEVIS"
"TURKEY OAK","QUERCUS LAEVIS","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",819,"QULA2","TURKEY OAK","Quercus","laevis","quercus","0819","QULA2","turkey oak","Quercus","laevis","QUERCUS LAEVIS"
"UTAH JUNIPER","JUNIPERUS OSTEOERMA","Juniper scale (Carulaspis juniperi)*","I/S",1,"Carulaspis juniperi","Juniperus",65,"JUOS","UTAH JUNIPER","Juniperus","osteosperma","juniperus","0065","JUOS","Utah juniper","Juniperus","osteosperma","JUNIPERUS OSTEOERMA"
"VELVET ASH","FRAXINUS VELUTINA","Emerald ash borer (Agrilus planipennis)*","I/B",9,"Agrilus planipennis","Fraxinus",547,"FRVE2","VELVET ASH","","velutina","","0547","FRVE2","velvet ash","","velutina","FRAXINUS VELUTINA"
"VELVET ASH","FRAXINUS VELUTINA","Oystershell scale (Lepidosaphes ulmi)*","I/S",3,"Lepidosaphes ulmi","Fraxinus",547,"FRVE2","VELVET ASH","","velutina","","0547","FRVE2","velvet ash","","velutina","FRAXINUS VELUTINA"
"VIRGINIA PINE","PINUS VIRGINIANA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",132,"PIVI2","VIRGINIA PINE","","virginiana","","0132","PIVI2","Virginia pine","","virginiana","PINUS VIRGINIANA"
"VIRGINIA PINE","PINUS VIRGINIANA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",132,"PIVI2","VIRGINIA PINE","","virginiana","","0132","PIVI2","Virginia pine","","virginiana","PINUS VIRGINIANA"
"VIRGINIA ROUNDLEAF BIRCH","BETULA UBER","Gypsy moth (Lymantria dispar dispar)*","I/F",1,"Lymantria dispar","Betula",377,"BEUB","VIRGINIA ROUNDLEAF BIRCH","Betula","uber","betula","0377","BEUB","Virginia roundleaf birch","Betula","uber","BETULA UBER"
"VIRGINIA ROUNDLEAF BIRCH","BETULA UBER","Japanese beetle (Popillia japonica)*","I/F",1,"Popillia japonica","Betula",377,"BEUB","VIRGINIA ROUNDLEAF BIRCH","Betula","uber","betula","0377","BEUB","Virginia roundleaf birch","Betula","uber","BETULA UBER"
"VIRGINIA ROUNDLEAF BIRCH","BETULA UBER","Birch leafminer (Fenusa pusilla)*","I/F",0,"Fenusa pusilla","Betula",377,"BEUB","VIRGINIA ROUNDLEAF BIRCH","Betula","uber","betula","0377","BEUB","Virginia roundleaf birch","Betula","uber","BETULA UBER"
"WATER BIRCH","BETULA OCCIDENTALIS","Birch leafminer (Fenusa pusilla)*","I/F",0,"Fenusa pusilla","Betula",374,"BEOC2","WATER BIRCH","Betula","occidentalis","betula","0374","BEOC2","water birch","Betula","occidentalis","BETULA OCCIDENTALIS"
"WATER BIRCH","BETULA OCCIDENTALIS","Oystershell scale (Lepidosaphes ulmi)*","I/S",0,"Lepidosaphes ulmi","Acer",374,"BEOC2","WATER BIRCH","Betula","occidentalis","betula","0374","BEOC2","water birch","Betula","occidentalis","BETULA OCCIDENTALIS"
"WATER BIRCH","BETULA OCCIDENTALIS","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",5,"Anoplophora glabripennis","Betula",374,"BEOC2","WATER BIRCH","Betula","occidentalis","betula","0374","BEOC2","water birch","Betula","occidentalis","BETULA OCCIDENTALIS"
"WATER BIRCH","BETULA OCCIDENTALIS","Japanese beetle (Popillia japonica)*","I/F",0,"Popillia japonica","Acer",374,"BEOC2","WATER BIRCH","Betula","occidentalis","betula","0374","BEOC2","water birch","Betula","occidentalis","BETULA OCCIDENTALIS"
"WATER OAK","QUERCUS NIGRA","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",827,"QUNI","WATER OAK","Quercus","nigra","quercus","0827","QUNI","water oak","Quercus","nigra","QUERCUS NIGRA"
"WATER OAK","QUERCUS NIGRA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",827,"QUNI","WATER OAK","Quercus","nigra","quercus","0827","QUNI","water oak","Quercus","nigra","QUERCUS NIGRA"
"WATERLOCUST","GLEDITSIA AQUATICA","Mimosa webworm (Homadaula anisocentra)*","I/F",1,"Homadaula anisocentra","Gleditsia",551,"GLAQ","WATERLOCUST","","aquatica","","0551","GLAQ","waterlocust","","aquatica","GLEDITSIA AQUATICA"
"WATERLOCUST","GLEDITSIA AQUATICA","Calico scale (Eulecanium cerasorum)*","I/S",1,"Eulecanium cerasorum","Gleditsia",551,"GLAQ","WATERLOCUST","","aquatica","","0551","GLAQ","waterlocust","","aquatica","GLEDITSIA AQUATICA"
"WESTERN HEMLOCK","TSUGA HETEROPHYLLA","Elongate hemlock scale (Fiorinia externa)*","I/S",0,"Fiorinia externa","Tsuga",263,"TSHE","WESTERN HEMLOCK","Tsuga","heterophylla","tsuga","0263","TSHE","western hemlock","Tsuga","heterophylla","TSUGA HETEROPHYLLA"
"WESTERN JUNIPER","JUNIPERUS OCCIDENTALIS","Juniper scale (Carulaspis juniperi)*","I/S",1,"Carulaspis juniperi","Juniperus",64,"JUOC","WESTERN JUNIPER","Juniperus","occidentalis","juniperus","0064","JUOC","western juniper","Juniperus","occidentalis","JUNIPERUS OCCIDENTALIS"
"WESTERN LARCH","LARIX OCCIDENTALIS","Larch sawfly (Pristiphora erichsonii)","I/F",3,"Pristiphora erichsonii","Larix",73,"LAOC","WESTERN LARCH","Larix","occidentalis","larix","0073","LAOC","western larch","Larix","occidentalis","LARIX OCCIDENTALIS"
"WESTERN LARCH","LARIX OCCIDENTALIS","Larch casebearer (Coleophora laricella)*","I/F",3,"Coleophora laricella","Larix",73,"LAOC","WESTERN LARCH","Larix","occidentalis","larix","0073","LAOC","western larch","Larix","occidentalis","LARIX OCCIDENTALIS"
"WESTERN WHITE PINE","PINUS MONTICOLA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",119,"PIMO3","WESTERN WHITE PINE","","monticola","","0119","PIMO3","western white pine","","monticola","PINUS MONTICOLA"
"WESTERN WHITE PINE","PINUS MONTICOLA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",119,"PIMO3","WESTERN WHITE PINE","","monticola","","0119","PIMO3","western white pine","","monticola","PINUS MONTICOLA"
"WHITE ASH","FRAXINUS AMERICANA","Oystershell scale (Lepidosaphes ulmi)*","I/S",3,"Lepidosaphes ulmi","Fraxinus",541,"FRAM2","WHITE ASH","","americana","","0541","FRAM2","white ash","","americana","FRAXINUS AMERICANA"
"WHITE ASH","FRAXINUS AMERICANA","Emerald ash borer (Agrilus planipennis)*","I/B",10,"Agrilus planipennis","Fraxinus",541,"FRAM2","WHITE ASH","","americana","","0541","FRAM2","white ash","","americana","FRAXINUS AMERICANA"
"WHITE BASSWOOD","TILIA AMERICANA VAR. HETEROPHYLLA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Tilia",952,"TIAMH","WHITE BASSWOOD","Tilia","americana var. heterophylla","tilia","0952","TIAMH","white basswood","Tilia","americana var. heterophylla","TILIA AMERICANA VAR. HETEROPHYLLA"
"WHITE BASSWOOD","TILIA AMERICANA VAR. HETEROPHYLLA","Japanese beetle (Popillia japonica)*","I/F",1,"Popillia japonica","Tilia",952,"TIAMH","WHITE BASSWOOD","Tilia","americana var. heterophylla","tilia","0952","TIAMH","white basswood","Tilia","americana var. heterophylla","TILIA AMERICANA VAR. HETEROPHYLLA"
"WHITE FIR","ABIES CONCOLOR","Balsam woolly adelgid (Adelges piceae)*","I/S",0,"Adelges piceae","Abies",15,"ABCO","WHITE FIR","Abies","concolor","abies","0015","ABCO","white fir","Abies","concolor","ABIES CONCOLOR"
"WHITE OAK","QUERCUS ALBA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",802,"QUAL","WHITE OAK","Quercus","alba","quercus","0802","QUAL","white oak","Quercus","alba","QUERCUS ALBA"
"WHITE OAK","QUERCUS ALBA","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",802,"QUAL","WHITE OAK","Quercus","alba","quercus","0802","QUAL","white oak","Quercus","alba","QUERCUS ALBA"
"WHITEBARK PINE","PINUS ALBICAULIS","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",101,"PIAL","WHITEBARK PINE","","albicaulis","","0101","PIAL","whitebark pine","","albicaulis","PINUS ALBICAULIS"
"WHITEBARK PINE","PINUS ALBICAULIS","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",101,"PIAL","WHITEBARK PINE","","albicaulis","","0101","PIAL","whitebark pine","","albicaulis","PINUS ALBICAULIS"
"WILLOW OAK","QUERCUS PHELLOS","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",831,"QUPH","WILLOW OAK","Quercus","phellos","quercus","0831","QUPH","willow oak","Quercus","phellos","QUERCUS PHELLOS"
"WILLOW OAK","QUERCUS PHELLOS","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",831,"QUPH","WILLOW OAK","Quercus","phellos","quercus","0831","QUPH","willow oak","Quercus","phellos","QUERCUS PHELLOS"
"WINGED ELM","ULMUS ALATA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",3,"Anoplophora glabripennis","Ulmus",971,"ULAL","WINGED ELM","Ulmus","alata","ulmus","0971","ULAL","winged elm","Ulmus","alata","ULMUS ALATA"
"WINGED ELM","ULMUS ALATA","Banded elm bark beetle (Scolytus schevyrewi)*","I/B",0,"Scolytus schevyrewi","Ulmus",971,"ULAL","WINGED ELM","Ulmus","alata","ulmus","0971","ULAL","winged elm","Ulmus","alata","ULMUS ALATA"
"YELLOW BIRCH","BETULA ALLEGHANIENSIS","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",5,"Anoplophora glabripennis","Betula",371,"BEAL2","YELLOW BIRCH","Betula","alleghaniensis","betula","0371","BEAL2","yellow birch","Betula","alleghaniensis","BETULA ALLEGHANIENSIS"
"YELLOW BIRCH","BETULA ALLEGHANIENSIS","Birch leafminer (Fenusa pusilla)*","I/F",0,"Fenusa pusilla","Betula",371,"BEAL2","YELLOW BIRCH","Betula","alleghaniensis","betula","0371","BEAL2","yellow birch","Betula","alleghaniensis","BETULA ALLEGHANIENSIS"
"YELLOW BIRCH","BETULA ALLEGHANIENSIS","Japanese beetle (Popillia japonica)*","I/F",0,"Popillia japonica","Acer",371,"BEAL2","YELLOW BIRCH","Betula","alleghaniensis","betula","0371","BEAL2","yellow birch","Betula","alleghaniensis","BETULA ALLEGHANIENSIS"
"YELLOW BIRCH","BETULA ALLEGHANIENSIS","Oystershell scale (Lepidosaphes ulmi)*","I/S",0,"Lepidosaphes ulmi","Acer",371,"BEAL2","YELLOW BIRCH","Betula","alleghaniensis","betula","0371","BEAL2","yellow birch","Betula","alleghaniensis","BETULA ALLEGHANIENSIS"
"YELLOW BUCKEYE","AESCULUS FLAVA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",5,"Anoplophora glabripennis","Aesculus",332,"AEFL","YELLOW BUCKEYE","Aesculus","flava","aesculus","0332","AEFL","yellow buckeye","Aesculus","flava","AESCULUS FLAVA"
