"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1496",0,1971,1971,2624,0,2802,0,0,0
"1497",0,1972,1972,2625,0,2803,0,0,0
"1498",0,1973,1973,2626,0,2806,0,0,0
"1499",0,1974,1974,2627,0,2807,0,0,0
"1500",0,1975,1975,2628,0,2808,0,0,0
"1501",0,1976,1976,2630,0,2809,0,0,0
"1502",0,1977,1977,2631,0,2822,0,0,0
"1503",0,1978,1978,2632,0,2823,0,0,0
"1504",0,1979,1979,2633,0,2824,0,0,0
"1505",0,1980,1980,2634,0,2825,0,0,0
"1506",0,1981,1981,2637,0,2826,0,0,0
"1507",0,1982,1982,2638,0,2827,0,0,0
"1508",0,1983,1983,2640,0,2828,0,0,0
"1509",0,1988,1988,2641,0,2829,0,0,0
"1510",0,1989,1989,2643,0,2830,0,0,0
"1511",0,1990,1990,2644,0,2831,0,0,0
"1512",0,1991,1991,2645,0,2836,0,0,0
"1513",0,1992,1992,2646,0,2839,0,0,0
"1514",0,1993,1993,2651,0,2840,0,0,0
"1515",0,1994,1994,2652,0,2842,0,0,0
"1516",0,1995,1995,2653,0,2843,0,0,0
"1517",0,1996,1996,2654,0,2844,0,0,0
"1518",0,1997,1997,2655,0,2845,0,0,0
"1519",0,1998,1998,2656,0,2846,0,0,0
"1520",0,1999,1999,2658,0,2847,0,0,0
"1521",0,2000,2000,2661,0,2848,0,0,0
"1522",0,2001,2001,2662,0,2849,0,0,0
"1523",0,2003,2003,2663,0,2850,0,0,0
"1524",0,2004,2004,2664,0,2851,0,0,0
"1525",0,2005,2005,2665,0,2852,0,0,0
"1526",0,2006,2006,2666,0,2853,0,0,0
"1527",0,2007,2007,2667,0,2854,0,0,0
"1528",0,2008,2008,2669,0,2855,0,0,0
"1529",0,2009,2009,2670,0,2856,0,0,0
"1530",0,2010,2010,2671,0,2857,0,0,0
"1531",0,2011,2011,2672,0,2858,0,0,0
"1532",0,2012,2012,2673,0,2859,0,0,0
"1533",0,2013,2013,2674,0,2860,0,0,0
"1534",0,2014,2014,2675,0,2861,0,0,0
"1535",0,2015,2015,2676,0,2862,0,0,0
"1536",0,2016,2016,2684,0,2863,0,0,0
"1537",0,2017,2017,2686,0,2864,0,0,0
"1538",0,2018,2018,2687,0,2865,0,0,0
"1539",0,2019,2019,2688,0,2866,0,0,0
"1540",0,2020,2020,2691,0,2869,0,0,0
"1541",0,2021,2021,2692,0,2871,0,0,0
"1542",0,2022,2022,2693,0,2872,0,0,0
"1543",0,2023,2023,2694,0,2874,0,0,0
"1544",0,2024,2024,2695,0,2875,0,0,0
"1545",0,2025,2025,2696,0,2876,0,0,0
"1546",0,2026,2026,2700,0,2877,0,0,0
"1547",0,2027,2027,2701,0,2878,0,0,0
"1548",0,2028,2028,2702,0,2879,0,0,0
"1549",0,2029,2029,2705,0,2881,0,0,0
"1550",0,2030,2030,2706,0,2882,0,0,0
"1551",0,2031,2031,2707,0,2884,0,0,0
"1552",0,2032,2032,2708,0,2885,0,0,0
"1553",0,2033,2033,2709,0,2886,0,0,0
"1554",0,2034,2034,2710,0,2887,0,0,0
"1555",0,2035,2035,2713,0,2888,0,0,0
"1556",0,2036,2036,2715,0,2889,0,0,0
"1557",0,2037,2037,2716,0,2890,0,0,0
"1558",0,2038,2038,2717,0,2891,0,0,0
"1559",0,2039,2039,2718,0,2892,0,0,0
"1560",0,2040,2040,2719,0,2893,0,0,0
"1561",0,2041,2041,2720,0,2895,0,0,0
"1562",0,2042,2042,2721,0,2896,0,0,0
"1563",0,2043,2043,2722,0,2897,0,0,0
"1564",0,2044,2044,2723,0,2898,0,0,0
"1565",0,2045,2045,2724,0,2899,0,0,0
"1566",0,2046,2046,2725,0,2900,0,0,0
"1567",0,2047,2047,2726,0,2902,0,0,0
"1568",0,2048,2048,2727,0,2903,0,0,0
"1569",0,2049,2049,2728,0,2904,0,0,0
"1570",0,2050,2050,2729,0,2906,0,0,0
"1571",0,2051,2051,2730,0,2907,0,0,0
"1572",0,2052,2052,2733,0,2909,0,0,0
"1573",0,2053,2053,2734,0,2910,0,0,0
"1574",0,2054,2054,2735,0,2911,0,0,0
"1575",0,2055,2055,2738,0,2912,0,0,0
"1576",0,2056,2056,2739,0,2913,0,0,0
"1577",0,2058,2058,2740,0,2914,0,0,0
"1578",0,2065,2065,2741,0,2915,0,0,0
"1579",0,2066,2066,2742,0,2916,0,0,0
"1580",0,2067,2067,2743,0,2917,0,0,0
"1581",0,2068,2068,2744,0,2918,0,0,0
"1582",0,2069,2069,2745,0,2919,0,0,0
"1583",0,2070,2070,2746,0,2920,0,0,0
"1584",0,2071,2071,2747,0,2921,0,0,0
"1585",0,2072,2072,2748,0,2922,0,0,0
"1586",0,2073,2073,2749,0,2923,0,0,0
"1587",0,2074,2074,2750,0,2924,0,0,0
"1588",0,2075,2075,2751,0,2925,0,0,0
"1589",0,2076,2076,2753,0,2926,0,0,0
"1590",0,2077,2077,2754,0,2927,0,0,0
"1591",0,2078,2078,2755,0,2929,0,0,0
"1592",0,2079,2079,2756,0,2931,0,0,0
"1593",0,2080,2080,2757,0,2932,0,0,0
"1594",0,2081,2081,2758,0,2933,0,0,0
"1595",0,2082,2082,2759,0,2938,0,0,0
"1596",0,2083,2083,2760,0,2939,0,0,0
"1597",0,2084,2084,2761,0,2941,0,0,0
"1598",0,2085,2085,2762,0,2942,0,0,0
"1599",0,2091,2091,2763,0,2944,0,0,0
"1600",0,2092,2092,2764,0,2946,0,0,0
"1601",0,2093,2093,2765,0,2947,0,0,0
"1602",0,2094,2094,2766,0,2948,0,0,0
"1603",0,2095,2095,2767,0,2949,0,0,0
"1604",0,2096,2096,2768,0,2956,0,0,0
"1605",0,2097,2097,2769,0,2957,0,0,0
"1606",0,2098,2098,2771,0,2958,0,0,0
"1607",0,2099,2099,2772,0,2959,0,0,0
"1608",0,2100,2100,2773,0,2965,0,0,0
"1609",0,2101,2101,2774,0,2966,0,0,0
"1610",0,2102,2102,2775,0,2967,0,0,0
"1611",0,2103,2103,2776,0,2968,0,0,0
"1612",0,2104,2104,2777,0,2969,0,0,0
"1613",0,2105,2105,2778,0,2970,0,0,0
"1614",0,2106,2106,2779,0,2971,0,0,0
"1615",0,2107,2107,2780,0,2972,0,0,0
"1616",0,2108,2108,2781,0,2973,0,0,0
"1617",0,2113,2113,2782,0,2974,0,0,0
"1618",0,2114,2114,2783,0,2975,0,0,0
"1619",0,2115,2115,2784,0,2977,0,0,0
"1620",0,2116,2116,2785,0,2978,0,0,0
"1621",0,2117,2117,2786,0,2981,0,0,0
"1622",0,2118,2118,2787,0,2983,0,0,0
"1623",0,2119,2119,2788,0,2984,0,0,0
"1624",0,2120,2120,2789,0,2985,0,0,0
"1625",0,2121,2121,2792,0,2987,0,0,0
"1626",0,2122,2122,2793,0,2988,0,0,0
"1627",0,2123,2123,2794,0,2991,0,0,0
"1628",0,2125,2125,2795,0,2992,0,0,0
"1629",0,2126,2126,2796,0,2993,0,0,0
"1630",0,2127,2127,2797,0,2995,0,0,0
"1631",0,2128,2128,2798,0,2996,0,0,0
"1632",0,2129,2129,2799,0,2997,0,0,0
"1633",0,2130,2130,2801,0,2998,0,0,0
"1634",0,2131,2131,2802,0,2999,0,0,0
"1635",0,2132,2132,2803,0,3000,0,0,0
"1636",0,2133,2133,2806,0,3001,0,0,0
"1637",0,2134,2134,2807,0,3002,0,0,0
"1638",0,2135,2135,2808,0,3004,0,0,0
"1639",0,2136,2136,2809,0,3006,0,0,0
"1640",0,2137,2137,2822,0,3007,0,0,0
