genus,pest,genus.1,severity,clean_pest,genus2
Abies concolor,Balsam woolly adelgid (Adelges piceae)*,I/S,0,Adelges piceae,Abies
Abies lasiocarpa var. arizonica,Balsam woolly adelgid (Adelges piceae)*,I/S,0,Adelges piceae,Abies
Abies magnifica,Balsam woolly adelgid (Adelges piceae)*,I/S,0,Adelges piceae,Abies
Abies magnifica var. shastensis,Balsam woolly adelgid (Adelges piceae)*,I/S,0,Adelges piceae,Abies
Betula uber,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,0,Anoplophora glabripennis,Acer
Acer macrophyllum,Japanese beetle (Popillia japonica)*,I/F,0,Popillia japonica,Acer
Acer negundo,Japanese beetle (Popillia japonica)*,I/F,0,Popillia japonica,Acer
Acer rubrum,Japanese beetle (Popillia japonica)*,I/F,0,Popillia japonica,Acer
Acer saccharum,Japanese beetle (Popillia japonica)*,I/F,0,Popillia japonica,Acer
Betula alleghaniensis,Japanese beetle (Popillia japonica)*,I/F,0,Popillia japonica,Acer
Betula lenta,Japanese beetle (Popillia japonica)*,I/F,0,Popillia japonica,Acer
Betula nigra,Japanese beetle (Popillia japonica)*,I/F,0,Popillia japonica,Acer
Betula occidentalis,Japanese beetle (Popillia japonica)*,I/F,0,Popillia japonica,Acer
Betula papyrifera,Japanese beetle (Popillia japonica)*,I/F,0,Popillia japonica,Acer
Betula populifolia,Japanese beetle (Popillia japonica)*,I/F,0,Popillia japonica,Acer
Acer macrophyllum,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Acer negundo,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Acer nigrum,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Acer pensylvanicum,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Acer rubrum,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Acer saccharinum,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Acer saccharum,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Acer spicatum,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Betula alleghaniensis,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Betula lenta,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Betula occidentalis,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Betula papyrifera,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Betula populifolia,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Betula uber,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Populus angustifolia,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Populus deltoides,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Populus deltoides ssp. monilifera,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
Populus fremontii,Oystershell scale (Lepidosaphes ulmi)*,I/S,0,Lepidosaphes ulmi,Acer
