"","SB_pres","RPBB_pres","MPEB_pres","BEBB_pres","CBT_pres","EFW_pres","LW_pres","EP_pres","PHM_pres"
"1027",-0.103848,0.195394,0.195394,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"1028",-0.103848,0.598970215,0.598970215,-0.089979641,0.015429426,-0.089979641,-0.103848,-0.103848,-0.103848
"1029",-0.103848,0.80972698,0.80972698,-0.092221833,0.004929902,-0.092221833,-0.103848,-0.103848,-0.103848
"1030",-0.103848,0.213899823,0.213899823,-0.084218515,0.090734004,-0.084218515,-0.103848,-0.103848,-0.103848
"1031",-0.103848,-0.103848,-0.103848,-0.093359173,-0.101916486,-0.093359173,-0.103848,-0.103848,-0.10096904
"1032",-0.103848,-0.103848,-0.103848,-0.092583208,-0.101829192,-0.092583208,-0.103848,-0.103848,-0.102527874
"1033",-0.103848,-0.103848,-0.103848,-0.101774274,-0.097586616,-0.101774274,-0.103848,-0.103848,-0.103848
"1034",-0.103848,-0.103704532,-0.103704532,-0.098092381,-0.096847105,-0.098092381,-0.103848,-0.103848,-0.09916973
"1035",-0.103848,0.324002517,0.324002517,-0.103848,0.063176881,-0.103848,-0.103848,-0.103848,-0.103848
"1036",-0.103848,-0.089276696,-0.089276696,-0.103375954,-0.103848,-0.103375954,-0.103848,-0.103848,-0.102215743
"1037",-0.100787966,0.903242655,0.903242655,-0.097902208,-0.060039772,-0.097902208,-0.102984658,-0.103848,-0.10360205
"1038",-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"1039",-0.103848,-0.103848,-0.103848,-0.081754127,-0.103848,-0.081754127,-0.103848,-0.103848,-0.102740174
"1040",-0.103848,0.163915572,0.163915572,-0.102466799,-0.103848,-0.102466799,-0.101420947,-0.103848,-0.093545896
"1041",-0.103848,0.09539756,0.09539756,-0.101960303,-0.103848,-0.101960303,-0.103848,-0.103848,-0.096521336
"1042",-0.103848,-0.103848,-0.103848,-0.079554864,-0.103848,-0.079554864,-0.103848,-0.103848,-0.102654283
"1043",-0.103848,0.122911332,0.122911332,-0.102374516,-0.103848,-0.102374516,-0.101792616,-0.103848,-0.103848
