"SppCode","prop_small","prop_med","prop_large"
"PIJE2",2.54692713241475e-05,7.56658595641646e-05,0
"PRYE",0.011094012920184,0.00906665524310844,0.00712970436134278
"AE",0.105913566795254,0.0537022889964066,0.0176991150442478
"BELE",0.0106684592492302,0.0397324120912257,0.0101010101010101
"SADI",0.045120611008258,0.0233926287640972,0.000313190795104027
"ABPI",0,0,0.0161290322580645
"ABPR",0.0125841834371846,0.0139268649622254,0.0423387096774194
"ACPS",0.00139275118285846,0.00158300522533869,0.00127570300200823
"CH",0.15925848877794,0.114837398373984,0.142857142857143
"FA",0.180960244835625,0.177932636469222,0.219607843137255
"ABGR",0.0246245098204858,0.0294384057971015,0.0665002560163851
"ILCO2",0.0585262395483609,0.00988512245822188,0
"PICO",0.0100209930020458,0.0084958290408811,0.00621019510888437
"PIST",0.239146606897714,0.224921503997378,0.327389625860587
"LITHO",0.25,0,0
"EUPL7",0.00240740530367577,0,0
"LIDE",0.75,1,1
"PIPI6",4.5809447882262e-05,8.47457627118644e-05,0
"TABA",0.119337706966573,0.166666666666667,0.2
"FRBE",1.38306691867469e-05,1.34517622590236e-05,3.12834015485283e-06
"PRAM",0.0027668889455612,0.00134311898315704,0.00174287957548192
"QURU4",3.5478480527636e-06,0,0
"EUER",0.00307740753463873,0.000593924995757678,0.00025974025974026
"BEUT2",0.00219527693227983,0.00143572181243414,0
"CRLA",0.0165777758027513,0.0169286306410052,0
"EULO9",0,9.33968431867002e-05,0
"EUCR",4.37101145205e-05,1.46237684797063e-05,0
"EUPA",0.00024390243902439,5.90184390465993e-05,6.1549824583e-05
"PIAT",9.99077974305981e-05,6.68504196149415e-05,0
"PLMEmja",0.000421381433643426,1.04493207941484e-05,0
"ULCR",3.87827846207051e-05,0.000199052556174202,0.000127420998980632
"CHPI",0.200750089831118,0.1467982387713,0.167127496159754
"ILAQ",0.033075353645587,0.0520833333333333,0.142857142857143
"PLOR",5.99512806231307e-05,4.85915794628969e-05,5.40160967968454e-05
"JUVI",0.37017425874057,0.425759762868997,0.405516860249069
"ACOB",0.000971177944862155,0.000446845814316803,0
"FIWA",3.882741215298e-05,0,0
"MONI",0.000419031247453968,0,0
"SAPE12",0.00328947368421053,0.00988428158148505,0.0191082802547771
"ACBE",0.0088702147525677,0.0117647058823529,0
"ACPE8",0.000466853408029879,0,0
"EUTE",0.00114737203710065,0.00223973194941229,0.000319665056105087
"FIRE3",0.00265205091937765,0.00239479986315429,0.00267758853478343
"PIEC",0.00194633116189179,0.00460263128336047,0.00199413762649978
"ACAN",0,5.04057664196784e-05,0
"PIFL",0.00478551993352575,0.000125493205360698,2.49823042011908e-05
"ACDE2",0.000114194358798675,0,0
"ACNI",0.00185327885308318,0.00349408958913659,0.00299148282474372
"CASA2",0.0209876543209877,0.00226757369614512,0
"CHFU",8.6641348139377e-06,0,0
"CHOB",0.165224408187795,0.0461091753774681,0
"CI4",0.0143604108309991,0.0165886026541764,0.00029603315571344
"ELAN",0.887441287441287,0.974025974025974,1
"ELPU",0.0113960113960114,0,0
"EUME",0.000262260687123,0.000127109795625607,0.000334098619059042
"EUPA26",0.00109210047324354,0.00168592458571487,0.000519420788840556
"EUSA",0,0,8.56663125792413e-06
"EUSP",0.0488796351378148,0.000141327774440872,3.95945517896738e-05
"FROR",1.47118791186588e-05,9.26061876686166e-06,0
"ILGL",0.00233100233100233,0,0.0714285714285714
"PIMU",0.02069132932242,0.0075760506714127,0.0132985136829074
"PRMA2",1.93563622427056e-07,0,0
"PRSA3",7.92747371107387e-06,0,3.93174490839035e-05
"PRSE1",0.0830497469202017,0.295063072966602,0.477016044836858
"PRSU",0.0119451212559955,0.00508745518573693,0.00271602567749521
"COST",0.0138843347353986,0.0181818181818182,0
"EUPA20",0,0.000179823772702752,0
"EUCO3",0,3.53319436102179e-05,0.000158378207158695
"FIAU3",0.000260552371026576,0,0
"PIRO",4.83807509226958e-05,0.000358128913870141,3.97322049387131e-05
"QUTO",8.66028151327593e-05,0,0
"SAMA3",1,1,1
"ACJA2",6.01890108544237e-05,0,0
"EULA17",0.000364033491081179,0,0
"PIEN",0.0149933049009446,0.0233257705827971,0.0345010592722441
"EUAM81",2.86270468338487e-05,3.37248223123424e-05,6.94492673102299e-05
