"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
-0.09511925,-0.09511925,-0.09511925,-0.09511925,-0.09511925,-0.09511925,-0.09511925,-0.09511925,-0.09511925,-0.09511925,-0.09511925,-0.09511925,-0.08830065,-0.08668655,-0.07632246,-0.06816579,-0.04446732,-0.00012978,0.04277117,0.05474646,0.06020018
-0.10409126,-0.10409126,-0.10409126,-0.10409126,-0.10409126,-0.10409126,-0.10409126,-0.10409126,-0.10409126,-0.10409126,-0.10409126,-0.10409126,-0.10314687,-0.10288626,-0.10209623,-0.10098801,-0.09657014,-0.09461145,-0.09136837,-0.08725863,-0.08678627
-0.10409126,-0.10409126,-0.10409126,-0.10409126,-0.10409126,-0.10409126,-0.10409126,-0.10409126,-0.10409126,-0.10409126,-0.10409126,-0.10409126,-0.10314687,-0.10288626,-0.10209623,-0.10098801,-0.09657014,-0.09461145,-0.09136837,-0.08725863,-0.08678627
-0.10497428,-0.10497428,-0.10497428,-0.10497428,-0.10497428,-0.10497428,-0.10497428,-0.10497428,-0.10497428,-0.10497428,-0.10497428,-0.10497428,-0.10485596,-0.10496562,-0.10492745,-0.1043756,-0.10361567,-0.10239729,-0.10185754,-0.10000398,-0.09842749
-0.10471625,-0.10471625,-0.10471625,-0.10471625,-0.10471625,-0.10471625,-0.10471625,-0.10471625,-0.10471625,-0.10471625,-0.10471625,-0.10471625,-0.10449104,-0.10409616,-0.10401701,-0.10371777,-0.10268824,-0.10189263,-0.101299,-0.09900215,-0.09693588
-0.09681132,-0.09681132,-0.09681132,-0.09681132,-0.09681132,-0.09681132,-0.09681132,-0.09681132,-0.09681132,-0.09681132,-0.09681132,-0.09681132,-0.09316882,-0.09218194,-0.08752811,-0.08331578,-0.06958764,-0.04799486,-0.02677907,-0.01168521,-0.00069281
-0.10534278,-0.10534278,-0.10534278,-0.10534278,-0.10534278,-0.10534278,-0.10534278,-0.10534278,-0.10534278,-0.10534278,-0.10534278,-0.10534278,-0.10532825,-0.10565736,-0.10561261,-0.1047844,-0.10432813,-0.10286986,-0.10207508,-0.09987622,-0.09820881
-0.10534278,-0.10534278,-0.10534278,-0.10534278,-0.10534278,-0.10534278,-0.10534278,-0.10534278,-0.10534278,-0.10534278,-0.10534278,-0.10534278,-0.10532825,-0.10565736,-0.10561261,-0.1047844,-0.10432813,-0.10286986,-0.10207508,-0.09987622,-0.09820881
-0.10537594,-0.10537594,-0.10537594,-0.10537594,-0.10537594,-0.10537594,-0.10537594,-0.10537594,-0.10537594,-0.10537594,-0.10537594,-0.10537594,-0.10532822,-0.10555292,-0.10537966,-0.10476303,-0.10441469,-0.10339801,-0.10286112,-0.10126064,-0.10007046
-0.10547928,-0.10547928,-0.10547928,-0.10547928,-0.10547928,-0.10547928,-0.10547928,-0.10547928,-0.10547928,-0.10547928,-0.10547928,-0.10547928,-0.10484829,-0.10467689,-0.10369288,-0.10300959,-0.1006273,-0.0991047,-0.09753827,-0.09502593,-0.09481562
-0.10544226,-0.10544226,-0.10544226,-0.10544226,-0.10544226,-0.10544226,-0.10544226,-0.10544226,-0.10544226,-0.10544226,-0.10544226,-0.10544226,-0.10532816,-0.10534404,-0.10491375,-0.10472029,-0.10458783,-0.1044543,-0.10443321,-0.10402948,-0.10379376
