COLUMN_NAM,LATIN_NAME,COMMON_NAM,YEAR,host.radius,pest.radius,spread,pest.radius2,pest.area2,Region,Guild,Continent,host.density,PHAGY,discpopden,intpopden,popden19002,popden19102,popden19202,popden19302,popden19402,popden19502,popden19602,popden19702,popden19802,popden19902,Popden20002,PopdenEst2007,Rd_Freq2,RdLengthKM2,Income19992,Dist2PortM2,Forestland2,HostFamCnt2,HostSppCnt2,HostGenCnt2,TreeDen2,TreeVol2,Total.Host.Volume,Host.Volume.Where.Pest.Present,Closest.Port,NumHosts,NumHostsUNK,PHAGYUNK,X,Host.Vol.pest.present.unk,X.1,X.2
EL_pres,Xanthogaleruca luteola,Elm Leafbeetle,175,933,1485,8.487030726,1485.230377,6930068.365,SE,Defoliators,Eurasia,50.52034006,MONO,18.70150175,5246.414985,-0.509856357,-0.48006741,-0.454333737,-0.424499405,-0.409654589,-0.381860633,-0.339527107,-0.302498498,-0.272820581,-0.247826326,-0.201698523,-0.174220199,20.50280868,224.1840378,17167.57275,812672.4525,91963.71243,10.98457107,24.20932429,14.13564697,13506.70039,18109229.83,138112213.1,138112213.1,SL,-0.453482659,,,,,NA,1
OW_pres,Ceratocystis fagacearum,Oak Wilt,65,1193,631,9.711837183,631.2694169,1251928.055,SE,Pathogens,UNK,1046.890867,UNK2,26.55512687,2931.74362,-0.54275078,-0.513594422,-0.490522934,-0.459609915,-0.44285566,-0.407936048,-0.357468367,-0.313216229,-0.268937381,-0.223464987,-0.168220312,-0.130022189,36.79768238,366.1175958,16894.25727,567475.6637,178393.4374,10.21667144,23.30012531,13.23540824,12472.33609,22833241.82,4680017654,1799331651,SL,1.711456834,,UNK,POLY,,NA,0.384471125
WPBR_pres,Cronartium ribicola,White Pine Blister Rust,117,895,914,7.813163325,914.140109,2625278.62,NE,Pathogens,UNK,348.7180481,UNK2,10.88324718,2642.785255,-0.576555302,-0.556350181,-0.539444642,-0.518417331,-0.50747527,-0.484226222,-0.449930694,-0.420601459,-0.392197911,-0.365272221,-0.328003533,-0.303521078,26.88695539,346.4990902,17000.02413,819728.7594,189994.1132,7.758489536,17.80525046,10.43118113,8817.761407,19796944.13,877288229.7,813958556.8,SL,-0.182865222,,UNK,MONO,,NA,0.927812011
CB_pres,Cryphonectria parasitica,Chestnut Blight,105,117,542,5.160946236,541.8993548,922544.1102,SE,Pathogens,Asia,2.89477947,UNK2,38.1818556,8250.937955,-0.343665933,-0.278675462,-0.216400458,-0.141516111,-0.106158012,-0.041011176,0.042491638,0.11728142,0.149711054,0.188438027,0.264844125,0.30769178,29.86158022,236.5398564,18244.52226,486728.8341,104968.8806,15.93582553,36.02083844,21.01679179,20125.09417,20493641.97,124545.552,122845.7084,NY,-0.498585565,,UNK,OLIGO,,NA,0.986351631
CDC_pres,Cryptodiaporthe populea,Cryptodiaporthe Canker,94,560,501,5.326801563,500.7193469,787659.684,NE,Pathogens,Europe,116.5337697,UNK2,88.87412381,16249.37778,-0.063111837,0.088798981,0.211968022,0.39781321,0.466752158,0.618592835,0.854139672,1.059815751,1.054033824,1.137005382,1.258936826,1.311944066,50.81934438,358.6002449,20842.95467,219753.2198,149162.4723,11.78310841,29.53753353,17.71725099,9123.560367,5336035.57,114975674.1,25394610.84,SL,-0.453482659,,UNK,OLIGO,,NA,0.220869423
DWA_pres,Discula destructiva,Dogwood Anthracnose,33,621,461,13.90071657,458.7236468,661077.1241,SE,Pathogens,UNK,6.843693933,UNK2,134.9897702,5213.39632,-0.34217121,-0.263369154,-0.134426095,0.041100724,0.073790503,0.197872442,0.368550495,0.482219906,0.49167082,0.50265639,0.600950823,0.645197169,38.18929436,753.0241019,19831.61447,786206.0907,697888.6043,9.130859804,23.7684157,12.9899601,3719.008355,7969806.413,8278936.308,2272198.823,NY,-0.453482659,,UNK,OLIGO,,NA,0.274455406
SC_pres,Gremmeniella abietina,Scleroderris Canker,45,473,182,4.044614789,182.0076655,104070.881,NE,Pathogens,Europe,294.2519019,UNK2,120.7238089,7525.407697,-0.181405966,-0.079244269,-0.004006126,0.075480374,0.107928173,0.209921509,0.360514409,0.563652293,0.662702672,0.759469992,0.891182719,0.951528593,79.1547949,442.4533903,22148.55208,717328.2824,335781.1252,10.00878491,24.57807898,15.22910895,2373.308097,4635123.663,206938789,6155272.103,NY,-0.408379753,,UNK,OLIGO,,NA,0.02974441
ELC_pres,Lachnellula willkommii,European Larch Canker,82,149,65,0.79581261,65.25663399,13378.247,NE,Pathogens,Europe,46.44964534,MONO,14.53852484,6727.54338,-0.627300806,-0.584760363,-0.545371467,-0.451313927,-0.403622061,-0.258804873,-0.061643561,0.094675735,0.213682379,0.39718746,0.525018626,0.585535269,165.5240929,668.443189,19259.10535,858967.3984,220586.9402,5.33506356,12.8715586,8.140618837,1610.630399,6487226.529,3258514.559,1467773.443,NY,-0.543688471,,UNK,MONO,UNK,NA,NA
EPLR_pres,Melampsora larici-populina,Eurasian Poplar Leaf Rust,18,1012,232,12.90728876,232.3311976,169576.214,NW,Pathogens,Eurasia,823.6783794,UNK2,57.02464968,1034.885466,-0.476093667,-0.440455528,-0.407529374,-0.367823836,-0.351741699,-0.313213397,-0.25980131,-0.216771855,-0.198411373,-0.182914647,-0.143207089,-0.124842194,23.92491648,260.7344979,17901.92228,850919.7712,187650.5273,9.70402433,23.03325306,14.02052885,10166.32443,14793244.39,2649592184,181593592.1,LB,-0.273071035,,UNK,POLY,,NA,0.068536431
DED_pres,Ophiostoma novo-ulmi,Dutch Elm Disease,79,981,1098,13.89769616,1097.917997,3786950.959,SE,Pathogens,Asia,85.93280108,UNK2,67.36547869,7741.594297,-0.332394562,-0.268951531,-0.19118988,-0.094695163,-0.064583645,0.026833884,0.168622729,0.270529201,0.298521684,0.318163949,0.393574843,0.423486616,27.6942359,240.2705452,19220.34943,752346.6545,73683.49228,12.59431849,30.63517341,18.14539252,19613.53941,21620691.52,259781516.1,254603294.2,SL,-0.227968129,,UNK,OLIGO,,NA,0.980067012
